,UTSW15_T,UTSW24_T,UTSW31_T,UTSW32_T,UTSW37_T,UTSW39_T,UTSW45_T,UTSW46_T,UTSW47_T,UTSW48_T,UTSW49_T,UTSW50_T,UTSW52_T,UTSW54_T,UTSW60_T,UTSW62_T,UTSW65_T,UTSW70_T,UTSW79_T,XP615_T,XP659_T,XP681_T,
,0.0213280946,0.0026302104,0.375136259,0.0017755287,0.0039776941,0.0192282457,0.0401600431,0.035162062,0.0873257341,0.0405375713,0.0224726452,0.0309611425,0.0283568679,0.1264066196,0.0138036735,0.0074083869,0.0159523154,0.0107320472,0.0149394124,0.1199466319,0.0448095903,0.0793964177,0.0822700724
234.254145,0.018941043,0.0052357626,0.0361866133,0.0095138745,0.0061097382,0.0252589228,0.0419145096,0.0289900589,0.0764733641,0.0310748766,0.024754483,0.017291506,0.0281177136,0.1254649901,0.0175439327,0.0037041934,0.022255897,0.0100695751,0.016317091,0.0128779415,0.0260204944,0.0681669569,0.0448436814
RP5-857K21.4,0.0403115113,0.0154113892,0.0375136259,0.0222384967,0.0144549404,0.0147707887,0.021165154,0.0250895366,0.0259937748,0.0423994713,0.0145622741,0.0207147568,0.0243595745,0.0328143595,0.0244598836,0.0148167738,0.0349984131,0.0218118921,0.0303761332,0.021761929,0.1274063723,0.0151010041,0.0121575573
MTND1P23,0.3283961587,0.7725585556,3.4595984509,1.561902988,0.0110023019,0.1927194626,1.0748186485,1.0502156488,1.9819789766,2.3714714867,4.4057862962,0.3557610522,0.5158900063,0.0321010038,0.0089342795,0.2620716861,0.4852597654,2.4431472232,1.282974962,13.2901380245,0.7163640645,0.8187380832,0.5261177034
MTND2P28,7.1578851082,29.1517892409,37.8197319863,32.2566953608,0.2758530872,12.6677430693,33.5657944501,15.0315807326,24.5339950532,37.3482778353,7.3154061058,7.8969957325,16.7043475806,2.2171093319,2.7159221612,6.5496252,9.8486211262,9.0740783667,135.3382134345,94.7263740511,36.5883973173,22.0268058144,12.3033583154
AC114498.1,0.6962846039,2.8165854865,3.2069556642,2.6939948708,0.0322193224,0.2718174733,1.430782667,2.2192825087,5.3781651539,5.3061206094,3.1254678382,1.6577880859,1.0393219146,0.1778538284,0.1192648682,0.4778409542,1.3960692965,0.1796955427,0.3891102012,8.4165412338,2.5286570111,1.2340295932,0.7621490068
MTCO1P12,22.2387689386,36.5680291741,117.9493983433,53.9328673541,0.3642215397,9.7192838737,39.9860061086,31.0504410382,61.4541288576,44.0794708369,42.2521824618,7.7900220644,29.2877931225,7.7520357496,1.3664931058,10.2017747257,17.3746914835,3.9005029172,14.7546287264,244.8218799667,47.6000322669,22.2524870048,13.8147764004
MIR6723,0.5971160263,0.9834521149,2.6131940765,1.6132601551,0.0095464659,0.2525892276,0.982704085,0.7009468146,1.6840702938,0.9536345796,10.3580916337,0.1197553624,0.7048646154,0.1070033461,0.0409311382,0.2352162837,0.4945217764,3.093545717,0.3189023554,4.6886203946,1.1718878256,0.4847370689,0.3953354362
MTCO2P12,0.4533491316,0.7379548498,1.1170639093,0.8547247107,0.0178996235,0.1943800838,0.4477439149,0.2560234053,1.3365472448,0.3314299975,0.3716629786,0.0622494215,0.6441108801,0.0342410708,0.0204655691,0.0250033057,0.1098099382,0.3282052138,0.7640807157,3.0567061434,0.6456719198,0.3106208638,0.2938682266
MTATP8P1,0.0056498264,0.011918141,0.0276375897,0.0125766615,0.0007955388,0.005244067,0.0147050663,0.0061146424,0.0342999168,0.0159086399,0.0094454257,0.003505035,0.0036300207,0.0028534226,0.0056456742,0.0074083869,0.000966807,0.0041404503,0.0033601917,0.021761929,0.0064789986,0.0015883254,0.0014164144
MTATP6P1,11.7134389959,27.541155232,71.2011171584,30.7297998799,0.5306243955,15.9504066554,24.4819983571,10.9220362493,8.0107424805,23.2627916525,17.353805346,8.917778758,9.9632624069,5.9191968343,7.1356664637,8.3764222806,9.3557139175,11.018019779,29.1233730355,115.3241422167,26.7219776191,16.7507341776,10.863370011
MTCO3P12,1.1492311853,1.7114203845,5.0309600257,3.4382816975,0.0165074306,0.7502511868,1.1989192666,1.0540817548,5.432229239,2.6019700023,1.079834804,0.3572565338,1.4688601334,0.1455245507,0.0508110681,0.0777880623,0.6572643974,0.8477489165,1.2232441939,6.1698140862,2.2007110023,0.9266806798,0.5921556663
